"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating,"Broad Bean
Origin"
Arete,"Puerto Quito, heirloom",70%,U.S.A.,3.75,Ecuador
Arete,Oko Caribe,70%,U.S.A.,3.5,Domincan Republic
Arete,Maya Mountain,70%,U.S.A.,3.75,Belize
Arete,Chuno,70%,U.S.A.,4.0,Nicaragua
Arete,Fazenda Camboa,75%,U.S.A.,2.75,Brazil
Arete,Guatemala,70%,U.S.A.,3.25,Guatemala
Arete,Camino Verde,75%,U.S.A.,3.5,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",72%,U.K.,3.25,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",72%,U.K.,3.75,Colombia
Artisan du Chocolat,Haiti,72%,U.K.,4.0,Haiti
Artisan du Chocolat,Panama,72%,U.K.,2.75,Panama
Artisan du Chocolat,Venezuela,100%,U.K.,1.75,Venezuela
Artisan du Chocolat,Jamaica,72%,U.K.,3.75,Jamaica
Artisan du Chocolat,Costa Rica,72%,U.K.,3.25,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,72%,U.K.,3.25,Vietnam
Artisan du Chocolat,Bali,72%,U.K.,3.5,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",75%,U.K.,2.5,Venezuela
Artisan du Chocolat,Java,72%,U.K.,2.75,Indonesia
Artisan du Chocolat,Brazil Rio Doce,72%,U.K.,1.75,Brazil
Artisan du Chocolat,Madagascar,80%,U.K.,3.0,Madagascar
Artisan du Chocolat,Peru,75%,U.K.,3.0,Peru
Artisan du Chocolat,Dominican Republic,72%,U.K.,3.25,Dominican Republic
Artisan du Chocolat,Congo,72%,U.K.,3.75,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",72%,U.K.,2.75,Colombia
Askinosie,Mababa,68%,U.S.A.,3.75,Tanzania
Askinosie,"Tenende, Uwate",72%,U.S.A.,3.75,Tanzania
Askinosie,Cortes,70%,U.S.A.,3.75,Honduras
Askinosie,Davao,77%,U.S.A.,3.75,Philippines
Askinosie,Xoconusco,75%,U.S.A.,2.5,Mexico
Askinosie,San Jose del Tambo,70%,U.S.A.,3.0,Ecuador
Bahen & Co.,Houseblend,80%,Australia,3.25, 
Bahen & Co.,Papua New Guinea,70%,Australia,3.5,Papua New Guinea
Bahen & Co.,Sambirano,70%,Australia,3.0,Madagascar
Bahen & Co.,Bahia,70%,Australia,2.5,Brazil
Bahen & Co.,Houseblend,70%,Australia,2.5, 
Bakau,"Bambamarca, 2015",70%,Peru,2.75,Peru
Bakau,"Huallabamba, 2015",70%,Peru,3.5,Peru
Bar Au Chocolat,Bahia,70%,U.S.A.,3.5,Brazil
Bar Au Chocolat,Maranon Canyon,70%,U.S.A.,4.0,Peru
Bar Au Chocolat,Duarte Province,70%,U.S.A.,3.25,Dominican Republic
Bar Au Chocolat,Chiapas,70%,U.S.A.,3.5,Mexico
Bar Au Chocolat,Sambirano,70%,U.S.A.,3.75,Madagascar
Baravelli's,single estate,80%,Wales,2.75,Costa Rica
Batch,"Dominican Republic, Batch 3",65%,U.S.A.,3.5,Domincan Republic
Batch,Brazil,70%,U.S.A.,3.75,Brazil
Batch,Ecuador,65%,U.S.A.,3.25,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",73%,U.K.,3.0,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",72%,U.K.,3.25,Malaysia
Beehive,"Brazil, Batch 20316",80%,U.S.A.,2.75,Brazil
Beehive,"Dominican Republic, Batch 31616",70%,U.S.A.,2.75,Domincan Republic
Beehive,"Ecuador, Batch 31516",70%,U.S.A.,2.75,Ecuador
Beehive,Ecuador,90%,U.S.A.,2.75,Ecuador
Belcolade,Costa Rica,64%,Belgium,2.75,Costa Rica
Belcolade,Papua New Guinea,64%,Belgium,2.75,Papua New Guinea
Belcolade,Peru,64%,Belgium,2.75,Peru
Belcolade,Ecuador,71%,Belgium,3.5,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",70%,U.S.A.,3.5,Tanzania
Bellflower,"Alto Beni, Palos Blanco",70%,U.S.A.,3.25,Bolivia
Bellflower,"Oko Caribe, Duarte P.",70%,U.S.A.,3.5,Domincan Republic
Belyzium,"Belize south, low fermentation",83%,Germany,2.75,Belize
Belyzium,Belize south,78%,Germany,3.0,Belize
Belyzium,Belize south,83%,Germany,3.5,Belize
Benoit Nihant,Baracoa,74%,Belgium,3.5,Cuba
Benoit Nihant,Chuao,74%,Belgium,3.5,Venezuela
Benoit Nihant,Cuyagua Village,74%,Belgium,3.5,Venezuela
Benoit Nihant,Rio Peripa H.,73%,Belgium,4.0,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72%,Belgium,4.0,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",72%,Belgium,3.75,Madagascar
Bernachon,Nature,55%,France,2.75, 
Beschle (Felchlin),Madagascar,64%,Switzerland,3.0,Madagascar
Beschle (Felchlin),Maracaibo,88%,Switzerland,3.0,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",72%,Switzerland,3.5,Venezuela
Beschle (Felchlin),Ecuador,72%,Switzerland,4.0,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",70%,Switzerland,3.25,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",74%,Switzerland,3.25,Venezuela
Beschle (Felchlin),"Java, Grand Cru",64%,Switzerland,3.5,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",72%,Switzerland,3.5,Venezuela
Bisou,"Nicaragua, American style",76%,U.S.A.,2.5,Nicaragua
Bisou,"San Andres, American style",76%,U.S.A.,2.5,Costa Rica
Bisou,"San Andres, silk",78%,U.S.A.,2.5,Costa Rica
Bisou,Belize,86%,U.S.A.,3.25,Belize
Bittersweet Origins,Ghana,72%,U.S.A.,3.5,Ghana
Bittersweet Origins,"Bali, Singaraja",75%,U.S.A.,3.25,Indonesia
Bittersweet Origins,2009 Hapa Nibby,70%,U.S.A.,3.75,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",65%,U.S.A.,2.75,Indonesia
Bittersweet Origins,"Sambirano, 2009",70%,U.S.A.,3.0,Madagascar
Bittersweet Origins,"Ocumare, prototype",78%,U.S.A.,3.0,Venezuela
Bittersweet Origins,Puerto Plata,75%,U.S.A.,3.0,Dominican Republic
Bittersweet Origins,Puerto Plata,65%,U.S.A.,3.5,Dominican Republic
Bittersweet Origins,Sambirano,75%,U.S.A.,3.25,Madagascar
Bittersweet Origins,Sambirano,65%,U.S.A.,3.5,Madagascar
Bittersweet Origins,Sambirano,71%,U.S.A.,3.0,Madagascar
Bittersweet Origins,Bocas del Toro,75%,U.S.A.,3.5,Panama
Bittersweet Origins,Puerto Plata,68%,U.S.A.,3.75,Dominican Republic
Bittersweet Origins,Ankasa,70%,U.S.A.,3.0,Ghana
Black Mountain,La Red,70%,U.S.A.,2.75,Dominican Republic
Black Mountain,Carenero Superior,70%,U.S.A.,2.75,Venezuela
Black Mountain,Matiguas,70%,U.S.A.,3.0,Nicaragua
Black River (A. Morin),Blue Mountain Region,70%,U.K.,2.75,Jamaica
Blanxart,"Congo, Grand Cru",82%,Spain,3.5,Congo
Blanxart,Organic Dark,72%,Spain,2.75, 
Blue Bandana,"Akesson's E., Sambirano V.",82%,U.S.A.,3.5,Madagascar
Blue Bandana,Lachua,75%,U.S.A.,2.75,Guatemala
Blue Bandana,Kokoa Kamili,75%,U.S.A.,3.5,Tanzania
Blue Bandana,Zorzal Reserva,75%,U.S.A.,3.0,Dominican Republic
Blue Bandana,Guatemala,70%,U.S.A.,3.5,Guatemala
Blue Bandana,Madagascar,70%,U.S.A.,3.75,Madagascar
Bonnat,Selva Maya,75%,France,3.5,Mexico
Bonnat,Kaori,75%,France,4.0,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",75%,France,3.25,Dominican Republic
Bonnat,Surfin,65%,France,3.75,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,75%,France,3.5,Brazil
Bonnat,Gabon,75%,France,3.25,Gabon
Bonnat,Cuba,75%,France,3.5,Cuba
Bonnat,"Cusco, Cacao Cusco",75%,France,3.5,Peru
Bonnat,Piura Blanco,75%,France,3.5,Peru
Bonnat,Libanio,75%,France,3.75,Brazil
Bonnat,Haiti,75%,France,4.0,Haiti
Bonnat,"Madagascar, 100% criollo",75%,France,4.0,Madagascar
Bonnat,Juliana,75%,France,3.5,Brazil
Bonnat,Jamaique,75%,France,3.25,Jamaica
Bonnat,Ivory Coast,75%,France,3.0,Ivory Coast
Bonnat,"Porcelana, Apotequil",75%,France,2.75,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",75%,France,3.0,Mexico
Bonnat,"Xoconusco, cacao Real",75%,France,3.0,Mexico
Bonnat,"Porcelana, Venezuela",75%,France,4.0,Venezuela
Bonnat,Equateur,75%,France,2.5,Ecuador
Bonnat,Trinite,75%,France,3.75,Carribean
Bonnat,"Ocumare, Puerto Cabello",75%,France,4.0,Venezuela
Bonnat,"Maracaibo, El Rosario",75%,France,4.0,Venezuela
Bonnat,Madagascar,75%,France,4.0,Madagascar
Bonnat,One Hundred,100%,France,1.5, 
Bonnat,Ceylan,75%,France,3.0,Sri Lanka
Bonnat,Chuao,75%,France,4.0,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",77%,Ecuador,3.25,Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",100%,Ecuador,1.5,Ecuador
Bowler Man,Maya Mountain,70%,U.S.A.,2.75,Belize
Bowler Man,Conacado,70%,U.S.A.,2.75,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",70%,U.S.A.,3.5,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",70%,U.S.A.,3.75,Nicaragua
Brasstown aka It's Chocolate,Conacado,68%,U.S.A.,3.75,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,70%,U.S.A.,3.75,Belize
Brasstown aka It's Chocolate,Chuao,70%,U.S.A.,4.0,Venezuela
Brasstown aka It's Chocolate,Cooproagro,72%,U.S.A.,3.0,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",70%,U.S.A.,3.25,Ecuador
Brasstown aka It's Chocolate,Ghana,75%,U.S.A.,3.5,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",85%,U.S.A.,3.5,Venezuela
Brazen,Elvesia P.,60%,U.S.A.,3.0,Dominican Republic
Brazen,Elvesia P.,80%,U.S.A.,3.25,Dominican Republic
Brazen,"Alta Verapaz, 2014",70%,U.S.A.,3.5,Guatemala
Brazen,Ambolikapiky P.,80%,U.S.A.,2.75,Madagascar
Brazen,Maya Mountain,80%,U.S.A.,3.25,Belize
Brazen,Ambolikapkly P.,60%,U.S.A.,3.25,Madagascar
Breeze Mill,Jamaica,70%,U.S.A.,3.0,Jamaica
Bright,Somia Plantation,72%,Australia,3.0,Madagascar
Bright,Marabel Farms,70%,Australia,3.5,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",72%,Australia,3.5,Ecuador
Bright,Gran Couva,68%,Australia,2.75,Trinidad
Britarev,Ecuador,70%,Russia,3.25,Ecuador
Bronx Grrl Chocolate,Dominican Republic,68%,U.S.A.,2.75,Dominican Republic
Burnt Fork Bend,Trinidad,72%,U.S.A.,3.25,Trinidad
Burnt Fork Bend,Mindo,72%,U.S.A.,3.5,Ecuador
Burnt Fork Bend,Belize,72%,U.S.A.,3.25,Belize
Burnt Fork Bend,Blend,72%,U.S.A.,3.25, 
Burnt Fork Bend,"Ecuador, Bob Bar",60%,U.S.A.,2.5,Ecuador
Cacao Arabuco,Puerto Rico,70%,Puerto Rico,2.5,Puerto Rico
Cacao Atlanta,Tumbes,75%,U.S.A.,2.5,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",75%,U.S.A.,2.5,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,75%,U.S.A.,2.75,Dominican Republic
Cacao Atlanta,Patanemo,75%,U.S.A.,2.25,Venezuela
Cacao Barry,Grand 'Anse,65%,France,3.5,Haiti
Cacao Barry,Santo Domingo,70%,France,3.0,Dominican Republic
Cacao Barry,Tanzania,75%,France,2.0,Tanzania
Cacao Barry,Venezuela,72%,France,2.0,Venezuela
Cacao Barry,Mexico,66%,France,3.0,Mexico
Cacao de Origen,Chuao,77%,Venezuela,3.5,Venezuela
Cacao de Origen,Rio Caribe,75%,Venezuela,3.25,Venezuela
Cacao de Origen,Agua Fria; Sucre region,75%,Venezuela,2.5,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,74%,Venezuela,3.25,Venezuela
Cacao de Origen,"Chuao, Aragua region",75%,Venezuela,3.5,Venezuela
Cacao de Origen,"Chuao, Aragua region",70%,Venezuela,3.75,Venezuela
Cacao de Origin,Hacienda la Trinidad,74%,Venezuela,3.25,Venezuela
Cacao Hunters,Macondo,71%,Colombia,3.75,Colombia
Cacao Hunters,Perla Negra,74%,Colombia,3.75,Colombia
Cacao Hunters,Arhuacos,72%,Colombia,3.75,Colombia
Cacao Hunters,Sierra Nevada,64%,Colombia,3.5,Colombia
Cacao Hunters,Tumaco,70%,Colombia,3.5,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",69%,Colombia,2.75,Colombia
Cacao Hunters,Arauca,70%,Colombia,3.25,Colombia
Cacao Market,"Jutiapa, lot 050916D",70%,U.S.A.,3.5,Honduras
Cacao Prieto,"Criollo, Dominican Republic",72%,U.S.A.,3.75,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",72%,U.S.A.,3.0,Dominican Republic
Cacao Prieto,Dominican Republic,66%,U.S.A.,3.75,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",65%,U.S.A.,3.25,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",70%,Spain,3.5,Congo
Cacao Sampaka,Madagascar,71%,Spain,3.5,Madagascar
Cacao Sampaka,Ecuador,71%,Spain,3.75,Ecuador
Cacao Sampaka,Papua,71%,Spain,4.0,Papua New Guinea
Cacao Sampaka,Grenada,71%,Spain,3.25,Grenada
Cacao Sampaka,Venezuela,71%,Spain,3.5,Venezuela
Cacao Sampaka,Venezuela,77%,Spain,3.5,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",70%,Spain,4.0,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",70%,Spain,4.0,Mexico
Cacao Store,Madagascar,70%,Japan,3.0,Madagascar
Cacao Store,Peru,70%,Japan,3.25,Peru
Cacao Store,Vietnam,70%,Japan,3.5,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,70%,Peru,3.25,Peru
Cacaoyere (Ecuatoriana),Amazonia,63%,Ecuador,3.5,Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,71%,Ecuador,3.5,Ecuador
Cacaoyere (Ecuatoriana),Bolivar,82%,Ecuador,2.5,Ecuador
Cacaoyere (Ecuatoriana),Pichincha,91%,Ecuador,1.5,Ecuador
Callebaut,Grenade,60%,Belgium,2.75,Grenada
Callebaut,Baking,70%,Belgium,1.0,Ecuador
C-Amaro,Cuba,75%,Italy,2.5,Cuba
C-Amaro,Dominican Republic,72%,Italy,3.0,Dominican Republic
C-Amaro,"Lago di Como, Blu",70%,Italy,3.5, 
C-Amaro,Ecuador,100%,Italy,3.5,Ecuador
C-Amaro,Venezuela,80%,Italy,3.0,Venezuela
C-Amaro,Sao Tome,78%,Italy,2.25,Sao Tome
C-Amaro,Trinidad,70%,Italy,2.5,Trinidad
Cao,Porcelana,75%,U.S.A.,2.5,Venezuela
Cao,Tanzania,73%,U.S.A.,2.75,Tanzania
Cao,"Porcelana, Batch 5163",70%,U.S.A.,3.0,Venezuela
Cao,Bolivia,75%,U.S.A.,3.0,Bolivia
Cao,Brazil,70%,U.S.A.,3.25,Brazil
Caoni (Tulicorp),Esmeraldas,77%,Ecuador,2.0,Ecuador
Caoni (Tulicorp),Manabi,77%,Ecuador,2.5,Ecuador
Caoni (Tulicorp),Los Rios,77%,Ecuador,2.75,Ecuador
Caoni (Tulicorp),Manabi,55%,Ecuador,3.0,Ecuador
Caoni (Tulicorp),Los Rios,55%,Ecuador,3.25,Ecuador
Caoni (Tulicorp),Esmeraldas,55%,Ecuador,3.5,Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",70%,New Zealand,3.5,Papua New Guinea
Captain Pembleton,Kulili Estate,70%,New Zealand,3.75,Papua New Guinea
Caribeans,"Antigua, Special Reserve",72%,Costa Rica,3.5,Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",72%,Costa Rica,3.25,Costa Rica
Caribeans,Anselmo Paraiso Estate,72%,Costa Rica,3.5,Costa Rica
Caribeans,Costa Rica,72%,Costa Rica,3.0,Costa Rica
Caribeans,Costa Rica,80%,Costa Rica,2.75,Costa Rica
Carlotta Chocolat,Arauca,65%,Colombia,3.0,Colombia
Carlotta Chocolat,Tumaco,65%,Colombia,3.25,Colombia
Carlotta Chocolat,Cordoba,65%,Colombia,3.25,Colombia
Carlotta Chocolat,Huila,65%,Colombia,3.5,Colombia
Carlotta Chocolat,Cesar,65%,Colombia,3.5,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",72%,U.S.A.,4.0,Belize
Castronovo,"the lost city, gracias a dias, batch 362",72%,U.S.A.,3.5,Honduras
Castronovo,"Duarte, Batch 360",70%,U.S.A.,3.75,Domincan Republic
Castronovo,"Piaroa, Amazonas, Batch 350",72%,U.S.A.,3.5,Venezuela
Castronovo,Sierra Nevada,72%,U.S.A.,3.5,Colombia
Castronovo,Arauca,76%,U.S.A.,3.5,Colombia
Castronovo,Elvesia P.,70%,U.S.A.,2.75,Dominican Republic
Castronovo,Bolivia,70%,U.S.A.,3.0,Bolivia
Castronovo,Conacado,73%,U.S.A.,3.5,Dominican Republic
Castronovo,San Martin,70%,U.S.A.,2.5,Peru
Castronovo,"Guaniamo, Amazonas",70%,U.S.A.,3.25,Venezuela
Castronovo,Nicaragua,72%,U.S.A.,3.25,Nicaragua
Castronovo,Tumbes,70%,U.S.A.,2.75,Peru
Castronovo,Guaniamo,72%,U.S.A.,3.0,Venezuela
Cello,Ecuador,70%,U.S.A.,2.5,Ecuador
Cello,Peru,70%,U.S.A.,2.75,Peru
Cello,Venezuela,70%,U.S.A.,2.75,Venezuela
Cello,Bolivia,70%,U.S.A.,3.0,Bolivia
Cemoi,Equateur,72%,France,2.75,Ecuador
Chaleur B,Uganda,70%,Canada,2.75,Uganda
Charm School,Maya Mtn,70%,U.S.A.,3.25,Belize
Chchukululu (Tulicorp),Arriba,55%,Ecuador,2.75,Ecuador
Chchukululu (Tulicorp),Los Rios,75%,Ecuador,3.0,Ecuador
Chequessett,la Amistad,70%,U.S.A.,3.5,Costa Rica
Chloe Chocolat,Blend No. 1,70%,France,3.5, 
Chocablog,Ecuador,70%,U.K.,3.25,Ecuador
Choco Del Sol,Maya Mountain w/ nibs,75%,Germany,3.0,Belize
Choco Del Sol,Maya Mountain,82%,Germany,3.25,Belize
Choco Dong,"Mekong Delta, early 2014 Harvest",70%,South Korea,2.75,Vietnam
Choco Dong,"Tawau, Oct. 2015 Harvest",70%,South Korea,3.5,Malaysia
Chocolarder,Peru,65%,U.K.,2.5,Peru
Chocolarder,Peru + nibs,65%,U.K.,2.75,Peru
Chocolarder,Dominican Republic,80%,U.K.,2.5,Dominican Republic
Chocola'te,Madagascar,70%,U.S.A.,3.75,Madagascar
Chocola'te,Venezuela,68%,U.S.A.,3.75,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",90%,U.S.A.,2.5,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",80%,U.S.A.,2.5, 
Chocolate Con Amor,Wild Bolivian,70%,U.S.A.,2.5,Bolivia
Chocolate Con Amor,Uganda,70%,U.S.A.,2.75,Uganda
Chocolate Con Amor,Dominican Republic,60%,U.S.A.,3.0,Dominican Republic
Chocolate Con Amor,Dominican Republic,75%,U.S.A.,3.0,Dominican Republic
Chocolate Con Amor,Ocumare,80%,U.S.A.,3.0,Venezuela
Chocolate Con Amor,Ecuador,70%,U.S.A.,3.25,Ecuador
